Barrio,Código distrito,Código barrio,Personas,Superficie (hm²),Densidad de población (p / hm²),Porcentaje +65 años,Edad media,Índice de envejecimiento,Índice de sobreenvejecimiento,Índice de estructura de la población activa,Porcentaje de población extranjera,Tasa bruta de natalidad,Tasa bruta de mortalidad,Tasa bruta de emigración intraurbana,Tasa bruta de emigración interurbana,Tasa general de fecundidad,Período de mayor construcción de inmuebles,Sup. construida media (m²),Valor catastral máxima frecuencia (miles euros),Valor por m²,Coeficiente derecha - izquierda,Cluster
CAMPANAR,4,1,11595.0,98.784,117.377308066084,29.4351013367831,47.9,230.0,10.6,139.1,11.5,33.3,45.8,8.6,33.6,30.2,1970.0,117.460921144452,54.0,468.425517209626,1.1221976634038522,0
LES TENDETES,4,2,5362.0,25.821,207.66043143178,26.557254755688177,47.3,237.3,14.3,124.5,22.2,48.4,64.3,6.4,46.5,35.3,1970.0,100.704437110378,21.0,406.848618350381,0.9237097980553478,1
EL CALVARI,4,3,4984.0,9.368,532.02391118702,22.211075441412518,45.9,189.6,23.8,121.8,29.5,45.6,80.1,11.6,55.1,51.9,1970.0,83.9483339573193,21.0,308.260429834185,0.7917485265225933,1
SANT PAU,4,4,17905.0,389.805,45.9332230217673,15.755375593409662,40.5,75.9,9.8,163.1,13.5,47.5,63.3,5.1,38.9,35.1,2005.0,122.620785402618,80.0,584.717427314124,1.6327782646801052,4
MARXALENES,5,1,10930.0,39.036,279.997950609694,25.709057639524246,46.8,212.1,16.7,129.2,19.4,41.8,62.9,10.2,43.4,34.5,1970.0,97.6041896361632,21.0,355.816409193429,0.9433469996272829,1
MORVEDRE,5,2,10124.0,42.818,236.442617590733,24.04188067957329,46.7,202.3,22.3,127.8,16.9,38.3,55.5,15.7,41.6,35.8,1970.0,102.615731180777,42.0,354.573520216452,0.9856386999244142,1
TRINITAT,5,3,7970.0,59.568,133.796669352673,24.78042659974906,46.3,197.5,18.6,120.3,18.2,49.5,71.5,12.0,53.4,33.2,1970.0,97.699356223176,42.0,411.352614748319,0.9564164648910412,1
TORMOS,5,4,8654.0,27.995,309.126629755313,18.60411370464525,44.1,143.5,16.3,129.2,21.4,41.8,74.6,9.3,46.1,40.4,1970.0,93.4603289791969,15.0,355.106241766206,0.8615012106537531,1
SANT ANTONI,5,5,9821.0,24.974,393.248978938096,22.859179309642602,45.5,173.5,14.2,129.3,12.8,40.8,52.3,8.8,42.7,29.6,1970.0,110.813341885824,42.0,384.862136495367,1.043960396039604,1
EXPOSICIO,6,1,6853.0,38.161,179.581247870863,25.463300744199618,45.0,157.5,16.3,115.2,9.0,51.1,49.7,11.5,46.5,26.9,1970.0,145.924224343675,80.0,728.283814976551,4.749315068493151,3
MESTALLA,6,2,14623.0,84.359,173.342500503799,22.36887095671203,44.4,152.0,15.4,115.4,13.1,38.1,56.4,7.1,46.2,35.6,1990.0,113.10663627153,80.0,612.644924240558,2.115221579961464,3
JAUME ROIG,6,3,6451.0,19.08,338.102725366876,25.5309254379166,44.4,151.4,18.1,105.9,7.3,39.2,48.9,7.8,43.1,26.2,1970.0,168.598530394122,80.0,658.485550710799,4.002518891687657,3
CIUTAT UNIVERSITARIA,6,4,2753.0,27.696,99.4006354708261,24.4823828550672,44.0,156.7,15.9,99.2,11.3,34.6,62.2,12.4,50.9,24.7,1970.0,124.818119891008,54.0,553.121807261792,2.6873563218390806,3
NOU MOLES,7,1,26527.0,73.954,358.695946128675,21.762732310476117,45.6,180.8,19.6,126.5,20.3,49.7,72.4,11.1,43.8,42.0,1970.0,100.556832791348,27.0,372.883964950036,1.011175898931001,1
SOTERNES,7,2,4880.0,22.433,217.536664734989,22.418032786885245,46.2,182.9,19.3,140.8,18.0,31.9,60.5,9.7,28.8,43.2,1970.0,97.5038229376258,27.0,327.94796604993,0.9807860262008734,1
TRES FORQUES,7,3,9556.0,52.672,181.424665856622,20.311845960652995,44.4,149.8,24.5,126.1,30.8,50.6,97.7,11.9,51.1,53.0,1970.0,84.8959090909091,21.0,308.652263654422,0.9129672897196262,1
LA FONTSANTA,7,4,3649.0,32.3,112.97213622291,17.292408879144972,41.6,108.4,17.4,107.0,28.1,60.3,93.0,11.9,44.4,56.1,1950.0,83.2924467398321,15.0,288.058791505193,0.8363047001620746,1
LA LLUM,7,5,4972.0,17.521,283.773757205639,23.531777956556716,46.3,203.8,13.6,133.4,12.5,31.3,52.7,11.8,30.3,46.3,1990.0,106.618796662275,42.0,397.798598844178,1.0386996904024768,1
PATRAIX,8,1,24313.0,62.13,391.324641879929,23.189240324106443,46.6,195.4,17.5,142.9,14.0,42.2,52.0,8.9,46.3,34.4,1970.0,107.653277476589,42.0,423.903037241019,1.0563180312352105,1
SANT ISIDRE,8,2,10366.0,49.522,209.321109809781,17.856453791240597,43.7,138.2,9.6,143.8,8.3,37.3,39.4,7.2,26.4,29.9,1970.0,112.585201305767,54.0,410.089746428288,0.8888520238885202,4
VARA DE QUART,8,3,10041.0,103.461,97.0510627192855,28.493177970321682,48.4,267.9,10.3,137.3,10.5,29.3,40.3,9.6,37.2,31.5,1970.0,108.642746400886,42.0,398.254281051614,0.949336960217613,0
SAFRANAR,8,4,9940.0,44.126,225.264016679509,19.27565392354125,43.7,128.4,10.8,152.4,7.5,58.3,38.1,5.2,30.8,24.0,1970.0,115.749942223249,42.0,432.420785724269,0.9428669175504618,4
FAVARA,8,5,3673.0,28.025,131.061552185549,18.35012251565478,44.6,147.2,14.5,146.0,16.3,43.6,55.4,9.6,41.4,29.3,1970.0,102.719328703704,42.0,397.650766652206,0.8876288659793814,1
LA RAIOSA,9,1,15555.0,37.545,414.302836596085,20.495017679202828,45.1,170.6,18.5,125.1,21.9,48.3,72.6,10.6,47.1,36.9,1970.0,104.875576627371,42.0,402.26886934922,1.1127753303964758,1
L'HORT DE SENABRE,9,2,16968.0,42.635,397.982877917204,22.6013672795851,46.0,192.5,13.0,138.3,15.6,36.9,51.7,9.3,39.0,32.0,1970.0,102.639621898385,42.0,364.212395325695,0.8498478922207736,1
LA CREU COBERTA,9,3,6046.0,37.489,161.273973698952,22.56037049288786,45.8,186.8,11.7,136.4,16.0,37.7,52.7,12.0,36.6,33.7,1970.0,104.403282122905,42.0,339.221811873142,0.87248322147651,1
SANT MARCEL.LI,9,4,10134.0,33.044,306.681999757898,24.116834418788237,46.4,204.5,13.7,140.4,16.7,44.5,62.0,11.9,35.6,37.6,1970.0,92.6817329722974,33.0,344.283769599856,0.7869090909090909,1
CAMI REAL,9,5,3882.0,147.748,26.2744673362753,14.348274085522927,41.4,82.5,10.6,172.9,12.9,37.1,40.2,4.7,31.4,28.5,1970.0,105.795418220565,42.0,362.062997663387,1.1492178098676293,4
MONTOLIVET,10,1,19407.0,47.326,410.07057431433,23.218426341010975,46.0,180.5,18.9,132.5,19.8,41.1,59.1,11.2,43.7,31.7,1970.0,102.841991786448,42.0,371.064825278706,1.3256056264652254,1
EN CORTS,10,2,12063.0,36.403,331.373787874626,20.45925557489845,45.1,161.6,18.5,134.2,20.9,39.9,57.6,8.6,44.7,34.6,1970.0,98.7092598738799,27.0,370.109552538406,1.0836901518100428,1
MALILLA,10,3,23229.0,250.716,92.6506485425741,21.81325067803177,44.9,155.7,11.5,147.5,10.8,53.3,54.4,7.3,34.9,26.0,1970.0,110.134659666575,42.0,395.459251437613,0.9743386662442579,0
LA FONTETA S.LLUIS,10,4,3088.0,23.883,129.296989490433,21.14637305699482,44.4,152.9,13.6,133.2,15.4,52.5,55.2,9.8,39.8,41.1,1970.0,108.072453861928,21.0,303.147382581747,1.2730434782608695,1
NA ROVELLA,10,5,7490.0,54.012,138.67288750648,22.176234979973298,45.4,168.3,16.8,135.0,18.4,34.1,62.5,13.8,33.8,43.9,1970.0,96.8983466013472,33.0,350.850259392675,1.0325757575757575,1
LA PUNTA,10,6,3015.0,621.259,4.8530484065422,17.446102819237147,42.2,101.9,19.0,135.7,17.2,79.9,81.6,11.8,41.8,22.5,2005.0,148.893028206493,80.0,360.443932518761,1.2407407407407407,4
CIUTAT DE LES ARTS I DE LES CIENCIES,10,7,8280.0,98.923,83.7014647756336,13.502415458937197,40.9,81.2,10.2,139.6,18.6,70.0,89.3,4.8,45.3,31.8,1990.0,122.402355712603,80.0,546.140000538878,1.7478772044415414,4
EL GRAU,11,1,9718.0,71.641,135.64858111975,17.76085614323935,43.4,129.7,15.8,132.7,21.6,44.7,79.5,9.2,51.5,38.1,1970.0,102.575521381925,42.0,380.863103715965,0.820993031358885,1
CABANYAL-CANYAMELAR,11,2,19252.0,134.925,142.686677783954,20.745896530230628,45.1,166.5,18.7,132.5,18.4,45.1,61.2,13.6,49.5,35.5,1970.0,94.0214687340262,15.0,292.217837887082,0.7890526315789473,1
LA MALVA-ROSA,11,3,12925.0,72.854,177.409613748044,23.84526112185687,46.2,192.5,14.8,138.5,16.4,33.6,60.7,11.0,33.3,35.7,1970.0,97.0564633790487,42.0,329.887024066435,0.7275116822429907,1
